epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,5812.26,0.72267,0.5196,1.0447,0.81241,0.72545,0.79912,0.59179,0.92717,1.22282,1.30615,0.00256044,0.00256044,0.00256044
105,5868.03,0.70751,0.51448,1.03832,0.78302,0.72891,0.79739,0.59041,0.93009,1.19204,1.32708,0.00253647,0.00253647,0.00253647
106,5923.39,0.72552,0.53103,1.04082,0.79714,0.71577,0.78996,0.58889,0.93791,1.12687,1.3352,0.00251241,0.00251241,0.00251241
107,5979.05,0.71485,0.51368,1.04075,0.8237,0.71784,0.8038,0.599,0.91518,1.00517,1.31163,0.00248827,0.00248827,0.00248827
108,6034.63,0.6933,0.49879,1.02341,0.81834,0.72752,0.79833,0.59514,0.92023,1.12158,1.30431,0.00246406,0.00246406,0.00246406
109,6090.37,0.71494,0.51009,1.03239,0.78172,0.74549,0.79897,0.5965,0.91142,1.15598,1.29714,0.00243977,0.00243977,0.00243977
110,6145.61,0.69304,0.49719,1.02402,0.78441,0.75737,0.80549,0.60141,0.91189,1.03365,1.29743,0.00241543,0.00241543,0.00241543
111,6201.35,0.69807,0.48695,1.01966,0.80266,0.73997,0.80462,0.60153,0.91589,1.10151,1.31632,0.00239102,0.00239102,0.00239102
112,6257.04,0.68136,0.47831,1.01426,0.78324,0.75519,0.79405,0.5953,0.92121,1.14435,1.31133,0.00236655,0.00236655,0.00236655
113,6312.49,0.68874,0.5039,1.01906,0.81355,0.73026,0.80024,0.60598,0.89901,0.98559,1.30007,0.00234202,0.00234202,0.00234202
114,6367.91,0.68102,0.4875,1.01121,0.79986,0.73582,0.79147,0.59911,0.90063,1.09599,1.30585,0.00231745,0.00231745,0.00231745
115,6423.38,0.69063,0.48034,1.01983,0.81077,0.71704,0.79419,0.59873,0.91454,1.14506,1.31123,0.00229282,0.00229282,0.00229282
116,6479.15,0.68239,0.47612,1.01581,0.82092,0.72268,0.79971,0.60105,0.92217,1.0813,1.32557,0.00226816,0.00226816,0.00226816
117,6536.93,0.67573,0.47729,1.00709,0.80607,0.73873,0.79367,0.59539,0.91825,1.13348,1.31605,0.00224346,0.00224346,0.00224346
118,6592.15,0.6765,0.46551,1.00737,0.80056,0.7273,0.78765,0.59327,0.91538,1.18572,1.31726,0.00221872,0.00221872,0.00221872
119,6647.19,0.66199,0.46651,0.99896,0.79249,0.74744,0.79774,0.59936,0.92854,1.13916,1.33636,0.00219395,0.00219395,0.00219395
120,6702.72,0.65565,0.45986,1.00546,0.79045,0.7462,0.79767,0.60394,0.91305,1.18837,1.31229,0.00216915,0.00216915,0.00216915
121,6757.62,0.6573,0.45414,0.99191,0.80787,0.74205,0.80269,0.6057,0.90096,1.10374,1.30056,0.00214433,0.00214433,0.00214433
122,6813.38,0.6497,0.45904,0.98108,0.79776,0.75242,0.80666,0.60471,0.90842,1.07828,1.31341,0.00211948,0.00211948,0.00211948
123,6868.43,0.65955,0.45162,1.00626,0.79248,0.76323,0.81291,0.61316,0.9125,1.07257,1.32635,0.00209463,0.00209463,0.00209463
124,6924.35,0.65147,0.45624,1.00182,0.77814,0.75726,0.80842,0.61252,0.91228,1.09103,1.31878,0.00206976,0.00206976,0.00206976
125,6979.67,0.64325,0.43855,0.99303,0.801,0.73651,0.80412,0.60579,0.91073,1.05221,1.32068,0.00204488,0.00204488,0.00204488
126,7035.35,0.64406,0.4379,0.98645,0.77881,0.76217,0.80829,0.61176,0.90308,1.07075,1.30947,0.00202,0.00202,0.00202
127,7090.79,0.6434,0.44831,0.99359,0.79719,0.74756,0.80697,0.6111,0.88702,1.06174,1.29534,0.00199512,0.00199512,0.00199512
128,7146.09,0.63978,0.43238,0.98379,0.80742,0.75035,0.80419,0.60485,0.89821,1.04933,1.31302,0.00197024,0.00197024,0.00197024
